course_id;course_name;course_type;course_period;vacancies;campus;city;state_uf;university;uni_abrev
121032;ENGENHARIA FLORESTAL;Bacharelado;Integral;15;CAMPUS CURITIBANOS;Curitibanos;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121033;FISIOTERAPIA;Bacharelado;Integral;9;CAMPUS ARARANGUÁ - JARDIM DAS AVENIDAS;Araranguá;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121034;ENFERMAGEM;Bacharelado;Integral;11;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121035;ZOOTECNIA;Bacharelado;Integral;10;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121037;JORNALISMO;Bacharelado;Integral;9;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121038;DIREITO;Bacharelado;Matutino;13;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121039;MATEMÁTICA;Bacharelado;Integral;12;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121040;QUÍMICA;Licenciatura;Integral;6;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121041;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Integral;15;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121042;FARMÁCIA;Bacharelado;Integral;19;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
